Code,Nội dung,Phân loại,Mã ICD-10,Chương,Nhóm,Tên mã,Danh sách 30
A00,Bệnh tả,Mã,A00,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh tả,0.0
A00.0,"Bệnh tả do Vibrio cholerae 01, type sinh học cholerae",Mã nhánh,A00,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh tả,0.0
A00.1,"Bệnh tả do Vibrio cholerae 01, type sinh học eltor",Mã nhánh,A00,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh tả,0.0
A00.9,"Bệnh tả, không đặc hiệu",Mã nhánh,A00,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh tả,0.0
A01,Bệnh thương hàn và phó thương hàn,Mã,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A01.0,Thương hàn,Mã nhánh,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A01.1,Bệnh phó thương hàn A,Mã nhánh,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A01.2,Bệnh phó thương hàn B,Mã nhánh,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A01.3,Bệnh phó thương hàn C,Mã nhánh,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A01.4,"Bệnh phó thương hàn, không đặc hiệu",Mã nhánh,A01,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh thương hàn và phó thương hàn,0.0
A02,Nhiễm Salmonella khác,Mã,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A02.0,Viêm ruột do Salmonella,Mã nhánh,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A02.1,Nhiễm khuẩn huyết do Salmonella,Mã nhánh,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A02.2†,Nhiễm Salmonella khu trú,Mã nhánh,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A02.8,Nhiễm Salmonella xác định khác,Mã nhánh,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A02.9,"Nhiễm Salmonella, không đặc hiệu",Mã nhánh,A02,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm Salmonella khác,0.0
A03,Bệnh lỵ trực khuẩn,Mã,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.0,Bệnh lỵ trực khuẩn do Shigella dysenteriae,Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.1,Bệnh lỵ trực khuẩn do Shigella flexneri,Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.2,Bệnh lỵ trực khuẩn do Shigella boydii,Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.3,Bệnh lỵ trực khuẩn do Shigella sonnei,Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.8,Bệnh lỵ trực khuẩn khác,Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A03.9,"Bệnh lỵ trực khuẩn, không xác định",Mã nhánh,A03,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh lỵ trực khuẩn,0.0
A04,Nhiễm khuẩn đường ruột do vi khuẩn khác,Mã,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.0,Nhiễm Escherichia coli gây bệnh đường ruột,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.1,Nhiễm Escherichia coli gây độc tố ruột (ETEC),Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.2,Nhiễm Escherichia coli xâm nhập (EIEC),Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.3,Nhiễm Escherichia coli gây xuất huyết đường ruột (EHEC),Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.4,Nhiễm Escherichia coli đường ruột khác,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.5,Viêm ruột do Campylobacter,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.6,Viêm ruột do Yersinia enterocolitica,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.7,Viêm ruột do Clostridium difficile,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.8,Nhiễm khuẩn đường ruột do vi khuẩn xác định khác,Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
A04.9,"Nhiễm khuẩn đường ruột do vi khuẩn, không xác định",Mã nhánh,A04,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm khuẩn đường ruột do vi khuẩn khác,0.0
